model,manuscript,seed,decode_tok_s,detected,error,findings_matched,flagged_distractors,fp_on_clean,known_artifact_findings,missed_ids,n_findings,n_seeded,num_ctx,num_predict,numeric_correct,numeric_detected,numeric_total,output_tokens,peak_vram_mib,precision_prefilter,prefill_tok_s,prompt_tokens,recall,think,thinking_chars,ttft_s,unexplained_findings,variant,wall_s
command-r-plus,MS-A,42,3.3,1,salvaged,643,0,,0,"V01,V02,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",644,40,65536,24576,0,0,7,24576,85363,0.998,191.4,12200,0.025,,0,118.38,1,a,7617.47
command-r-plus,MS-A,42,,7,salvaged,11,0,,0,"V02,V03,V04,V08,V10,V11,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39",12,40,65536,24576,0,3,7,0,0,0.917,,0,0.175,,0,0.0,1,b,430.97
command-r-plus,MS-B,42,,,TimeoutError: timed out,,0,0,0,,0,,65536,24576,,,,,0,,,,,,0,,,a,
command-r-plus,MS-B,42,3.3,,,,1,30,7,,37,,65536,24576,,,,2949,0,,461.6,12495,,,0,27.25,,b,926.74
gemma4,MS-A,42,53.1,11,,10,0,,2,"V01,V02,V03,V04,V09,V10,V13,V14,V15,V16,V18,V19,V20,V21,V24,V25,V26,V27,V28,V30,V31,V32,V33,V34,V36,V37,V38,V39,V40",12,40,65536,24576,2,4,7,3233,0,0.917,3996.0,11908,0.275,,9419,10.52,1,a,71.54
gemma4,MS-A,42,51.9,18,,16,1,,1,"V02,V03,V09,V10,V13,V14,V15,V16,V17,V18,V20,V21,V24,V25,V26,V27,V32,V33,V36,V37,V39,V40",20,40,65536,24576,3,5,7,4972,0,0.85,3989.6,12108,0.45,,12805,10.47,3,b,106.38
gemma4,MS-B,42,53.2,,,,1,1,1,,2,,65536,24576,,,,2519,0,,4038.1,12005,,,10234,2.97,,a,50.42
gemma4,MS-B,42,51.5,,,,0,0,0,,0,,65536,24576,,,,4242,0,,4010.5,12205,,,17497,3.04,,b,85.58
glm-4.5-air:q4,MS-A,42,11.5,17,salvaged,294,4,,2,"V02,V04,V05,V07,V08,V09,V12,V13,V14,V15,V16,V17,V18,V19,V20,V22,V23,V25,V30,V31,V33,V37,V39",304,40,65536,24576,0,1,7,24576,100337,0.967,537.9,11410,0.425,,0,158.84,10,a,2297.06
glm-4.5-air:q4,MS-B,42,11.5,,salvaged,,226,228,116,,344,,65536,24576,,,,24576,100337,,1179.9,11464,,,0,9.89,,a,2145.02
gpt-oss:120b,MS-A,42,38.2,11,,9,0,,0,"V01,V02,V03,V04,V05,V06,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V20,V21,V25,V26,V27,V31,V32,V33,V36,V37,V39,V40",9,40,32768,16384,2,3,7,874,63818,1.0,1163.3,11527,0.275,low,1378,24.77,0,a,48.79
gpt-oss:120b,MS-A,42,35.2,0,empty response,0,0,,0,"V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",0,40,65536,24576,0,0,7,24576,65041,,1155.3,11527,0.0,high,79566,28.31,0,a,750.95
gpt-oss:120b,MS-A,42,37.7,14,,13,0,,1,"V01,V02,V04,V10,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V24,V26,V27,V28,V30,V31,V32,V33,V36,V37,V39,V40",14,40,65536,24576,2,5,7,3273,65041,0.929,1165.3,11527,0.35,medium,10874,24.4,1,a,114.87
gpt-oss:120b,MS-A,42,38.1,15,,13,0,,1,"V02,V03,V04,V06,V09,V12,V13,V14,V15,V16,V17,V18,V20,V21,V24,V26,V27,V28,V29,V30,V31,V32,V36,V37,V38",14,40,65536,24576,2,4,7,1485,65041,0.929,1162.3,11718,0.375,low,2649,30.25,1,b,70.97
gpt-oss:120b,MS-A,43,37.5,11,,9,0,,0,"V01,V02,V03,V04,V05,V06,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V20,V21,V25,V26,V27,V31,V32,V33,V36,V37,V39,V40",9,40,65536,24576,2,3,7,874,65041,1.0,1152.8,11527,0.275,low,1378,27.78,0,a,52.15
gpt-oss:120b,MS-A,44,37.4,11,,8,0,,1,"V01,V02,V04,V05,V06,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V24,V25,V26,V27,V31,V32,V33,V36,V37,V39,V40",8,40,65536,24576,2,3,7,905,65041,1.0,377444.5,11527,0.275,low,1562,0.19,0,a,25.39
gpt-oss:120b,MS-B,42,37.9,,,,1,1,1,,2,,32768,16384,,,,553,63818,,1177.3,11577,,low,1578,9.95,,a,25.22
gpt-oss:120b,MS-B,42,35.3,,empty response,,0,0,0,,0,,65536,24576,,,,24576,65041,,1171.1,11577,,high,125109,10.09,,a,732.65
gpt-oss:120b,MS-B,42,37.6,,,,2,0,4,,4,,65536,24576,,,,4345,65041,,1159.0,11577,,medium,15365,10.18,,a,130.55
gpt-oss:120b,MS-B,42,38.1,,,,0,1,0,,1,,65536,24576,,,,909,65041,,1167.0,11768,,low,3509,10.24,,b,35.15
gpt-oss:120b,MS-B,43,37.4,,,,1,1,1,,2,,65536,24576,,,,553,65041,,1154.1,11577,,low,1578,10.17,,a,25.59
gpt-oss:120b,MS-B,44,37.5,,,,1,1,0,,1,,65536,24576,,,,545,65041,,394558.3,11577,,low,2006,0.17,,a,15.35
gpt-oss:20b,MS-A,42,47.5,9,,7,0,,0,"V01,V04,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V26,V27,V31,V32,V33,V36,V37,V38,V39,V40",7,40,32768,16384,1,4,7,1524,14193,1.0,518067.1,11527,0.225,low,6986,0.19,0,a,33.93
gpt-oss:20b,MS-A,42,49.8,0,empty response,0,0,,0,"V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",0,40,65536,24576,0,0,7,24576,15032,,3200.8,11527,0.0,high,106490,8.99,0,a,528.91
