model,seed,error,wall_s,in_tok,out_tok,prefill_tok_s,decode_tok_s,ttft_s,peak_vram_mib,n_items,correctly_denied,fabricated,fabrication_rate,detail
command-r-plus,42,,74.85,5193,173,197.8,3.6,26.36,0,5,5,0,0.0,
gemma4,42,,18.11,5081,944,4284.5,56.1,1.19,0,5,5,0,0.0,
glm-4.5-air:q4,42,salvaged,28.11,4913,380,574.2,20.0,8.7,82289,5,5,0,0.0,
gpt-oss:120b,42,,11.36,4963,272,1168.4,40.9,4.39,63818,5,5,0,0.0,
gpt-oss:20b,42,,5.52,4963,202,3262.2,56.0,1.66,14193,5,5,0,0.0,
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,42,salvaged,8.46,4975,209,1521.9,41.6,3.37,33547,5,0,4,0.8,F1:FABRICATED;F2:FABRICATED;F3:FABRICATED;F4:FABRICATED;F5:absent
llama4:scout,42,salvaged,19.05,4768,138,476.2,15.9,10.18,74485,5,0,5,1.0,F1:FABRICATED;F2:FABRICATED;F3:FABRICATED;F4:FABRICATED;F5:FABRICATED
magistral,42,,20.01,5070,197,984.6,13.4,5.27,20574,5,5,0,0.0,
mistral-small,42,,19.91,5070,196,986.7,13.4,5.23,20574,5,4,1,0.2,F5:FABRICATED
nemotron,42,,68.66,4946,235,301.8,4.5,16.5,0,5,4,1,0.2,F5:FABRICATED
qwen3.5:122b-a10b-q4_K_M,42,,236.66,5280,4827,485.2,22.1,11.04,83259,5,5,0,0.0,
qwen3.5:35b-a3b-bf16,42,,128.67,5280,3330,721.3,28.6,7.44,71619,5,5,0,0.0,
qwen3.6:27b,42,,171.35,5280,1754,584.5,11.0,9.14,23572,5,5,0,0.0,
qwen3.6:35b-a3b-bf16,42,,82.27,5280,2001,719.1,27.8,7.5,71046,5,5,0,0.0,
qwen3.6:35b-a3b-q4_K_M,42,,44.1,5280,1997,1383.1,53.6,3.94,25820,5,5,0,0.0,
qwen3.6:35b-a3b-q8_0,42,,66.54,5280,2498,1243.7,42.6,4.39,39895,5,5,0,0.0,
qwen3.8:27b,42,,29.2,5250,736,790.9,32.9,6.64,16723,5,5,0,0.0,
