model,seed,error,wall_s,in_tok,out_tok,prefill_tok_s,decode_tok_s,ttft_s,peak_vram_mib,n_raised,off_task_formatting,flagged_distractors,unexplained,n_errors,detected,recall,missed_ids
command-r-plus,42,,223.22,5377,559,197.9,3.5,61.01,85363,7,0,0,5,10,1,0.1,"S01,S02,S03,S05,S06,S07,S08,S09,S10"
gemma4,42,,38.44,5270,1600,3981.1,54.0,8.8,3700,1,0,0,0,10,1,0.1,"S01,S02,S03,S05,S06,S07,S08,S09,S10"
glm-4.5-air:q4,42,salvaged,1651.03,4934,24576,574.1,15.9,100.37,100337,0,0,0,0,10,0,0.0,"S01,S02,S03,S04,S05,S06,S07,S08,S09,S10"
gpt-oss:120b,42,,47.51,5107,851,1162.0,40.2,25.29,65041,4,0,0,0,10,5,0.5,"S03,S06,S07,S09,S10"
gpt-oss:20b,42,,64.76,5107,3123,3327.3,55.8,5.29,15032,2,0,0,0,10,3,0.3,"S01,S02,S03,S05,S06,S07,S10"
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,42,,21.66,5116,156,1548.5,41.6,17.87,36743,1,0,0,1,10,0,0.0,"S01,S02,S03,S04,S05,S06,S07,S08,S09,S10"
llama4:scout,42,,43.03,4902,148,484.4,15.9,33.51,84597,4,0,0,4,10,0,0.0,"S01,S02,S03,S04,S05,S06,S07,S08,S09,S10"
magistral,42,,26.18,5268,180,993.0,13.3,12.59,22170,2,0,0,0,10,2,0.2,"S01,S02,S03,S06,S07,S08,S09,S10"
mistral-small,42,,44.42,5268,422,999.9,13.2,12.44,20574,5,0,0,0,10,2,0.2,"S01,S02,S03,S06,S07,S08,S09,S10"
nemotron,42,,123.13,5079,398,308.5,4.5,35.04,68843,0,0,0,0,10,0,0.0,"S01,S02,S03,S04,S05,S06,S07,S08,S09,S10"
qwen3.5:122b-a10b-q4_K_M,42,,359.67,5477,6948,487.9,22.3,38.28,84281,5,1,0,0,10,7,0.7,"S03,S06,S09"
qwen3.5:35b-a3b-bf16,42,,266.93,5477,6614,720.0,29.2,31.9,72639,4,0,0,0,10,6,0.6,"S03,S06,S09,S10"
qwen3.6:27b,42,,461.33,5477,4704,587.8,10.7,14.47,25992,5,0,0,0,10,6,0.6,"S03,S06,S09,S10"
qwen3.6:35b-a3b-bf16,42,,243.34,5477,6228,694.4,31.1,32.64,72066,4,0,0,0,10,6,0.6,"S03,S06,S09,S10"
qwen3.6:35b-a3b-q4_K_M,42,,124.25,5477,5778,1384.9,53.8,8.99,26840,4,1,0,0,10,6,0.6,"S03,S06,S09,S10"
qwen3.6:35b-a3b-q8_0,42,,145.1,5477,5421,1266.5,42.8,11.02,40915,5,0,0,0,10,5,0.5,"S01,S06,S07,S09,S10"
qwen3.8:27b,42,,179.17,5446,4843,781.9,29.3,13.6,17119,5,0,0,0,10,7,0.7,"S03,S06,S10"
