model,seed,error,wall_s,in_tok,out_tok,prefill_tok_s,decode_tok_s,ttft_s,peak_vram_mib,n_findings,exempt_falsely_flagged,n_exempt,flagged_exempt_ids,applicable_detected,n_applicable,applicable_recall,missed_applicable,unexplained
command-r-plus,42,TimeoutError: timed out,,,,,,,0,0,0,5,,0,8,0.0,"A01,A02,A03,A04,A05,A06,A07,A08",0
gemma4,42,,48.12,9257,2460,4108.8,53.8,2.25,0,9,2,5,"X01,X02",5,8,0.625,"A02,A04,A06",3
glm-4.5-air:q4,42,,1655.89,8737,24576,550.7,15.0,15.97,100337,5,1,5,X05,5,8,0.625,"A01,A02,A05",0
gpt-oss:120b,42,,26.09,8915,676,1171.4,38.6,7.8,65041,5,0,5,,6,8,0.75,"A01,A02",0
gpt-oss:20b,42,,69.54,8915,1494,2998.0,23.2,3.13,15032,3,0,5,,2,8,0.25,"A01,A02,A05,A06,A07,A08",1
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,42,,8.82,8898,84,1363.1,39.3,6.63,36743,1,0,5,,2,8,0.25,"A01,A02,A03,A04,A05,A06",0
llama4:scout,42,,58.6,8723,535,396.7,14.9,22.1,84597,0,0,5,,0,8,0.0,"A01,A02,A03,A04,A05,A06,A07,A08",0
magistral,42,,76.39,9194,855,979.0,12.8,9.52,22170,13,2,5,"X02,X03",2,8,0.25,"A01,A02,A03,A04,A05,A06",10
mistral-small,42,,35.5,9194,333,972.2,12.9,9.56,20574,5,0,5,,4,8,0.5,"A02,A04,A05,A06",2
nemotron,42,,170.34,8869,621,294.7,4.4,30.17,0,8,3,5,"X01,X02,X04",4,8,0.5,"A01,A02,A04,A05",0
qwen3.5:122b-a10b-q4_K_M,42,,416.52,9293,8530,498.1,22.1,18.82,84281,9,0,5,,7,8,0.875,A02,3
qwen3.5:35b-a3b-bf16,42,,312.26,9293,8179,736.6,28.3,12.78,72639,9,0,5,,7,8,0.875,A05,1
qwen3.6:27b,42,,718.12,9293,7409,570.8,10.7,16.44,25992,9,0,5,,8,8,1.0,,2
qwen3.6:35b-a3b-bf16,42,,305.88,9293,8600,742.6,30.5,12.68,72066,10,0,5,,8,8,1.0,,2
qwen3.6:35b-a3b-q4_K_M,42,,158.96,9293,7284,1376.5,51.2,6.92,26840,9,0,5,,7,8,0.875,A02,2
qwen3.6:35b-a3b-q8_0,42,,293.66,9293,11241,1269.5,41.4,7.45,40915,8,0,5,,6,8,0.75,"A01,A04",3
qwen3.8:27b,42,,229.31,9275,6706,774.0,30.9,11.98,17119,12,0,5,,8,8,1.0,,3
